category,subcategory,skill,resource_name,type,link,license,difficulty,notes
Drug discovery,Molecular docking,Diffusion-based molecular docking,DiffDock,GitHub repo,https://github.com/gabib/biobombe,Apache-2.0,Advanced,Diffusion model for binding pose prediction.
Drug discovery,Molecular dynamics,GPU-accelerated molecular simulation,OpenMM,official site,https://openmm.org/,MIT/LGPL (parts),Advanced,GPU-accelerated molecular simulation.
Imaging,Visualization,N-dimensional image viewer,napari,official docs,https://napari.org/,BSD-3-Clause,Beginner,Python viewer + plugin ecosystem.
Imaging,Segmentation,Generalist cell segmentation,Cellpose,GitHub repo,https://github.com/mouseland/cellpose,BSD-3-Clause,Beginner,Strong baselines; train your own model.
Imaging,Segmentation,Cell segmentation 4,Cellpose 4,GitHub repo,https://github.com/MouseLand/cellpose,BSD-3-Clause,Beginner,Latest version with improved accuracy.
Imaging,Model sharing,Bioimage model repository,BioImage.IO,platform,https://bioimage.io/,CC-BY-4.0 (content default),Intermediate,Model Zoo; standardized model packaging.
Imaging,File formats,Cloud-optimized bioimaging spec,OME-NGFF / OME-Zarr,spec/docs,https://ngff.openmicroscopy.org/latest/,Spec repo license varies; tools BSD,Intermediate,Modern chunked formats for large imaging data.
Imaging,Community,Bioimage analysis forum,Image.sc,community hub,https://forum.image.sc/,Forum ToS,Beginner,Large community for image analysis tools & workflows.
Synthetic Biology,Standards,Design representation standard,SBOL Standard,official site,https://sbolstandard.org/,Standard (specs open),Intermediate,Core standard & ecosystem portal.
Synthetic Biology,Standards libs,SBOL3 Python library,pySBOL3,GitHub repo,https://github.com/SynBioDex/pySBOL3,MIT,Intermediate,Create/read/write SBOL3 documents.
Synthetic Biology,Repository/platform,Design repository for SBOL,SynBioHub,GitHub repo,https://github.com/SynBioHub/synbiohub,BSD-2-Clause,Intermediate,SBOL repository + API.
Synthetic Biology,Parts registry,Genetic parts registry,iGEM Registry,dataset portal,https://registry.igem.org/,Custom registry license,Beginner,Parts & metadata; note registry license terms.
Synthetic Biology,Modeling,Compile biological reaction networks,BioCRNpyler,GitHub repo,https://github.com/BuildACell/bioCRNpyler,BSD-3-Clause,Advanced,Programmatic CRN modeling; SBML export.
Pipelines,Curated workflows,Community Nextflow pipelines,nf-core,community/org,https://nf-co.re/,MIT (pipelines),Intermediate,High-quality reproducible pipelines.
AI Agents,Research agents,End-to-end scientific discovery agent,Robin,agent,https://futurehouse.ai,Nature (2025),Advanced,First AI-generated drug discovery agent.
AI Agents,Research agents,LLM agent for chemistry,ChemCrow,agent,https://github.com/urakagi/ChemCrow,NeurIPS (2023),Advanced,LLM agent augmented with chemistry tools.
AI Agents,Frameworks,Open-source AI agent framework,OpenClaw / Hermes,framework,https://openclaw.ai,MIT,Intermediate,Skills ecosystem for biology agents.
AI Agents,Frameworks,Language agent gymnasium,Aviary,framework,https://github.com/evanyl/aviary,MIT,Intermediate,DNA manipulation, literature search, protein engineering.
Benchmarks,Protein benchmarks,Large-scale protein benchmarks,ProteinGym,benchmark,https://protein.ai/proteingym,Nature Biotech (2023),Advanced,Protein design and fitness prediction benchmarks.
Benchmarks,Single-cell benchmarks,Giga-scale perturbation atlas,Tahoe-100M,benchmark,https://tahoe.allen.ai,Nature (2025),Advanced,Giga-scale single-cell perturbation atlas.
Benchmarks,Multi-modal benchmarks,Multi-modal biomedical AI benchmark,OpenBioMed,benchmark,https://github.com/bytedance/openbiomed,KDD (2023),Advanced,Benchmark for molecule + text + protein.
